Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Is Relevant
周遍含容观,1,觀自在菩薩大悲智印周遍法界利益眾生薰真如法,0,0,2,21,0,0
周遍含容观,2,应作如是观,0,0,1,4,0,0
周遍含容观,3,演員陣容,0,0,1,4,0,0
周遍含容观,4,周緣,0,0,1,4,0,0
周遍含容观,5,人生要有些什么? 人生活着要有希望 人生存在要有明天 人生意义要有信仰 人生每天要有工作 人生眼界要有远见 人生前途要有计划 人生做事要有观察 人生方便要有结缘 人生交友要有情义 人生性格要有慈悲 人生发展要有动力 人生处世要有服务 人生行事要有周全 人生存活要有大众 人生活动要有空间 人生积善要有无私 人生评断要有明鉴 人生滋长要有忙碌 人生安危要有思量 人生可否要有智慧,0,0,2,188,0,0
周遍含容观,6,十遍入,0,0,1,4,0,0
周遍含容观,7,向下兼容,0,0,1,4,0,0
周遍含容观,8,周达观,0,0,2,4,0,0
周遍含容观,9,观世音菩萨普门品讲话,0,0,1,10,0,0
周遍含容观,10,普观想,0,0,1,5,0,0
華嚴宗法界三觀,1,金剛頂經金剛界大道場毘盧遮那如來自受用身內證智眷屬法身異名佛最上乘祕密三摩地禮懺文,0,0,3,41,0,0
華嚴宗法界三觀,2,華嚴經探玄記,0,0,2,5,0,0
華嚴宗法界三觀,3,三界唯心，萬法唯識,0,0,3,9,0,0
華嚴宗法界三觀,4,華嚴五教止觀,0,0,3,5,0,0
華嚴宗法界三觀,5,三种悉地破地狱转业障出三界秘密陀罗尼法,0,0,3,19,0,0
華嚴宗法界三觀,6,佛化三千界 法傳不二人,0,0,3,10,0,0
華嚴宗法界三觀,7,法華經觀世音菩薩普門品講話,0,0,3,13,0,0
華嚴宗法界三觀,8,大方廣佛華嚴經入法界品四十二字觀門,0,0,5,17,0,0
華嚴宗法界三觀,9,華嚴經明法品內立三寶章,0,0,4,9,0,0
華嚴宗法界三觀,10,金刚顶经金刚界大道场毘卢遮那如来自受用身内证智眷属法身异名佛最上乘秘密三摩地礼忏文,0,0,3,41,0,0
般若类经典,1,金刚般若经,0,0,3,5,0,0
般若类经典,2,般若波罗蜜多理趣经大乐不空三昧真实金刚萨埵菩萨等一十七圣大曼荼罗义述,0,0,3,32,0,0
般若类经典,3,从金刚经说到般若空性的研究,0,0,3,12,0,0
般若类经典,4,金刚能断般若波罗蜜经,0,0,3,10,0,0
般若类经典,5,般若波罗蜜多心经略疏,0,0,3,8,0,0
般若类经典,6,圣八千颂般若波罗蜜多一百八名真实圆义陀罗尼经,0,0,3,22,0,0
般若类经典,7,佛光大藏经·般若藏,0,0,3,9,0,0
般若类经典,8,大般若波罗蜜经般若理趣分述赞,0,0,3,14,0,0
般若类经典,9,金刚般若经贊述,0,0,3,7,0,0
般若类经典,10,仁王护国般若波罗蜜经疏,0,0,3,11,0,0
遂不復救,1,發財不如發心 改運不如改心 治世不如治心 救人不如救心,0,0,2,27,0,0
遂不復救,2,萬劫不復,0,0,2,4,0,0
遂不復救,3,求人不如自救 求財不如勤儉 求名不如隨份 求壽不如護生 求助不如結緣 求福不如修身 求安不如守戒 求道不如行佛,0,0,2,55,0,0
遂不復救,4,远水不救近火,0,0,2,5,0,0
遂不復救,5,远水救不了近火,0,0,2,7,0,0
遂不復救,6,不可救药,0,0,2,4,0,0
遂不復救,7,半身不遂,0,0,2,4,0,0
遂不復救,8,四依止; 1. 依法不依人 2. 依智不依識 3. 依義不依語 4. 依了義不依不了義,0,0,1,43,0,0
遂不復救,9,好事不出门，恶事传千里,0,0,1,11,0,0
遂不復救,10,遠水不救近火,0,0,2,5,0,0
端居而逝,1,连锅端,0,0,1,4,0,0
端居而逝,2,何乐而不为,0,0,1,4,0,0
端居而逝,3,逝童子经,0,0,1,4,0,0
