Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Relevant
胡可勝言,1,言不可傳,0,0,2,4,0,1
胡可勝言,2,佛頂尊勝陀羅尼真言,0,0,2,9,0,0
胡可勝言,3,滿口胡言,0,0,2,3,0,0
胡可勝言,4,离言真如,0,0,1,4,0,0
胡可勝言,5,不可勝數,0,0,2,2,0,0
禍兮福所倚,1,保福清豁,0,0,1,5,0,0
禍兮福所倚,2,福伽罗,0,0,1,5,0,0
禍兮福所倚,3,任所,0,0,1,5,0,0
憂喜聚門,1,大喜過望,0,0,1,3,0,0
憂喜聚門,2,門柱,0,0,1,4,0,0
憂喜聚門,3,聚會,0,0,1,4,0,0
憂喜聚門,4,雲門日日是好日,0,0,1,7,0,0
吉凶同域,1,凶嫌,0,0,1,4,0,0
吉凶同域,2,同卵雙胞胎,0,0,1,5,0,0
吉凶同域,3,占候吉凶,0,0,2,4,0,0
吉凶同域,4,趋吉避凶,0,0,2,4,0,0
彼吳彊大,1,大集譬喻王经,0,0,1,6,0,0
彼吳彊大,2,天文学大成,0,0,1,4,0,0
彼吳彊大,3,三官大帝,0,0,1,4,0,0
夫差以敗,1,无言以对,0,0,1,3,0,0
夫差以敗,2,巴以,0,0,1,4,0,0
夫差以敗,3,难以应付,0,0,1,4,0,0
夫差以敗,4,潛夫論,0,0,1,4,0,0
越棲會稽,1,會黨,0,0,1,4,0,0
越棲會稽,2,五環會徽,0,0,1,3,0,0
越棲會稽,3,佛會,0,0,1,4,0,0
句踐霸世,1,紧缩句,0,0,1,4,0,0
句踐霸世,2,大正句王經,0,0,1,5,0,0
句踐霸世,3,詞句,0,0,1,4,0,0
句踐霸世,4,厌世,0,0,1,4,0,0
斯游遂成,1,成年,0,0,1,4,0,0
斯游遂成,2,成辦諸事真言,0,0,1,6,0,0
斯游遂成,3,看成,0,0,1,4,0,0
斯游遂成,4,歇洛克・福尔摩斯,0,0,1,8,0,0
卒被五刑,1,初五,0,0,1,4,0,0
卒被五刑,2,五人墓碑記,0,0,1,5,0,0
卒被五刑,4,五角大樓,0,0,1,4,0,0
卒被五刑,5,五恐怖世经,0,0,1,5,0,0
傅說胥靡,1,佛說隨求即得大自在陀羅尼神呪經,0,0,1,14,0,0
傅說胥靡,2,說假部,0,0,1,4,0,0
傅說胥靡,3,佛說彌勒來時經,0,0,1,6,0,0
傅說胥靡,4,佛說龍施菩薩本起經,0,0,1,8,0,0
乃相武丁,1,有無相通,0,0,1,4,0,0
乃相武丁,2,马丁炉,0,0,1,4,0,0
乃相武丁,3,起业相,0,0,1,4,0,0
乃相武丁,4,查士丁尼,0,0,1,4,0,0
夫禍之與福,1,因禍得福,0,0,2,4,0,1
夫禍之與福,2,揮之不去,0,0,1,5,0,0
夫禍之與福,3,山谦之,0,0,1,4,0,0
夫禍之與福,4,告之,0,0,1,5,0,0
禍之與福,1,山谦之,0,0,1,4,0,0
禍之與福,2,贪天之功,0,0,1,4,0,0
禍之與福,3,齊人之福,0,0,2,3,0,0
禍之與福,4,禍福吉凶,0,0,2,3,0,0
何異糾纆,1,立体几何,0,0,1,4,0,0
何異糾纆,2,何鍵,0,0,1,3,0,0
何異糾纆,3,歐氏幾何學,0,0,1,5,0,0
命不可說,1,一發而不可收,0,0,2,6,0,0
命不可說,2,不可不察,0,0,2,4,0,0
命不可說,3,不可見有對色,0,0,2,6,0,0
命不可說,4,不可理喻,0,0,2,4,0,0
孰知其極,1,知识检索,0,0,1,4,0,0
孰知其極,2,極徑,0,0,1,4,0,0
孰知其極,3,知其不可而為之,0,0,2,7,0,0
水激則旱,1,水牛兒,0,0,1,3,0,0
水激則旱,2,翱翔于激水之上,0,0,2,7,0,0
水激則旱,3,水俁市,0,0,1,3,0,0
舉首奮翼,1,翼手龍,0,0,1,4,0,0
舉首奮翼,2,中國左翼作家聯盟,0,0,1,7,0,0
舉首奮翼,3,感奮,0,0,1,4,0,0
萬物變化,1,變溫動物,0,0,2,4,0,0
萬物變化,2,過氧化物,0,0,2,4,0,0
萬物變化,3,硫化物,0,0,2,4,0,0
固無休息,1,固定,0,0,1,3,0,0
固無休息,2,無價寶珠,0,0,1,4,0,0
固無休息,3,泰盧固語,0,0,1,4,0,0
形氣轉續,1,轉發,0,0,1,4,0,0
形氣轉續,2,形式主义,0,0,1,3,0,0
形氣轉續,3,再轉復,0,0,1,4,0,0
變化而嬗,1,佛說大乘善見變化文殊師利問法經,0,0,2,15,0,0
變化而嬗,2,聯合國氣候變化框架公約,0,0,2,11,0,0
沕穆無窮,1,無相大乘宗,0,0,1,5,0,0
沕穆無窮,2,穆黑,0,0,1,4,0,0
沕穆無窮,3,窮在鬧市無人問，富在深山有遠親,0,0,2,15,0,0
南泉斬猫,3,南州乡,0,0,1,3,0,0
南泉斬猫,4,南苏丹,0,0,1,3,0,0
南泉斬猫,5,南陽,0,0,1,3,0,0
南泉問趙州,3,南泉斩猫,0,0,2,3,0,1
南泉問趙州,4,南達科他州,0,0,2,3,0,0
南泉問趙州,5,南州乡,0,0,2,4,0,0
外道問佛,3,問道於盲,0,0,2,3,0,0
黃巢過後收得劍,1,黃巢,0,0,2,5,1,0
黃巢過後收得劍,2,過後,0,0,2,7,1,0
傅大士講經,3,幻士仁賢經,0,0,2,4,0,0
傅大士講經,4,居鲁士大帝,0,0,2,4,0,0
傅大士講經,5,佛教大藏經,0,0,2,4,0,0
喫飯了也未,1,我也是醉了,0,0,2,5,0,0
喫飯了也未,2,未了,0,0,2,5,0,0
喫飯了也未,3,前緣未了,0,0,2,5,0,0
雲門餬餅,3,雲門胡餅,0,0,3,1,0,1
雲門餬餅,4,雲門文偃,0,0,2,2,0,0
雲門餬餅,5,雲門匡真,0,0,2,2,0,0
十六開士於浴,1,開士,0,0,2,6,1,0
十六開士於浴,2,十六觀經,0,0,2,4,0,0
十六開士於浴,3,十六國春秋,0,0,2,4,0,0
一切聲,1,一切入,0,0,2,1,0,0
一切聲,2,一切如舊,0,0,2,2,0,0
一切聲,3,第一聲,0,0,2,2,0,0
一切聲,4,一切就緒,0,0,2,2,0,0
一切聲,5,一聲,0,0,2,2,0,0
射得麈中麈,1,射中,0,0,2,4,0,0
射得麈中麈,2,看得中,0,0,2,4,0,0
射得麈中麈,3,得中,0,0,2,5,0,0
堅固法身,4,堅固地神,0,0,2,2,0,1
堅固法身,5,堅固性,0,0,2,2,0,0
堅固法身,6,五分法身,0,0,2,2,0,0
堅固法身,7,堅固女經,0,0,2,2,0,0
古佛與露柱,1,蒙古佛教,0,0,2,5,0,0
古佛與露柱,2,古田縣,0,0,1,4,0,0
古佛與露柱,3,供佛花,0,0,1,4,0,0
維摩詰不二法門,4,維摩詰經,0,0,3,4,0,1
維摩詰不二法門,5,維摩詰居士,0,0,3,4,0,1
維摩詰不二法門,6,維摩詰所說經,0,0,3,4,0,1
維摩詰不二法門,7,維摩義記,0,0,2,5,0,1
三種病人,2,玄沙三種病人,0,0,4,6,1,0
般若體,1,般若时,0,0,2,1,0,1
般若體,2,般若經,0,0,2,1,0,1
般若體,3,般若部,0,0,2,1,0,1
世尊陞座,3,五参陞座,0,0,2,2,0,0
世尊陞座,4,药山陞座,0,0,2,2,0,0
三轉語,3,三轉法輪,0,0,2,2,0,0
三轉語,4,三读,0,0,1,2,0,0
三轉語,5,共同語,0,0,1,2,0,0
回向院,2,回向門,0,0,2,1,0,1
回向院,3,回向偈,0,0,2,1,0,0
回向院,4,回向文,0,0,2,1,0,0
國豐山無緣寺,1,無畏山寺,0,0,3,5,0,0
國豐山無緣寺,2,教王護國寺,0,0,2,6,0,0
止于坐隅,1,止犯,0,0,1,3,0,0
止于坐隅,2,渐渍于道德,0,0,1,5,0,0
止于坐隅,3,半行半坐三昧,0,0,1,6,0,0
貌甚閒暇,1,不暇,0,0,1,4,0,0
貌甚閒暇,2,目不暇给,0,0,1,4,0,0
