Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Relevant
南泉斬猫,2,南泉,0,0,2,2,1,1
南泉斬猫,3,南州乡,0,0,1,3,0,0
南泉斬猫,4,南苏丹,0,0,1,3,0,0
南泉斬猫,5,南陽,0,0,1,3,0,0
南泉問趙州,1,南泉,0,0,2,3,1,1
南泉問趙州,2,趙州,0,0,2,5,1,1
南泉問趙州,3,南泉斩猫,0,0,2,3,0,0
南泉問趙州,4,南達科他州,0,0,2,3,0,0
南泉問趙州,5,南州乡,0,0,2,4,0,0
外道問佛,2,問道,0,0,2,3,0,1
外道問佛,3,問道於盲,0,0,2,3,0,0
外道問佛,4,佛道,0,0,2,3,0,0
外道問佛,5,露形外道,0,0,2,4,0,0
傅大士講經,1,傅大士,0,0,3,2,1,1
傅大士講經,2,講經,0,0,2,5,1,1
傅大士講經,3,幻士仁賢經,0,0,2,4,0,0
傅大士講經,4,居鲁士大帝,0,0,2,4,0,0
傅大士講經,5,佛教大藏經,0,0,2,4,0,0
雲門餬餅,2,雲門,0,0,2,2,1,1
雲門餬餅,3,雲門胡餅,0,0,3,1,0,1
雲門餬餅,4,雲門文偃,0,0,2,2,0,0
雲門餬餅,5,雲門匡真,0,0,2,2,0,0
雲門餬餅,6,韶陽餬餅,0,0,2,2,0,1
雲門餬餅,7,雲門寺,0,0,2,2,0,0
雲門餬餅,8,雲門宗,0,0,2,2,0,0
維摩詰不二法門,1,維摩詰,0,0,3,4,1,1
維摩詰不二法門,2,不二法門,0,0,4,7,1,1
維摩詰不二法門,3,不二,0,0,2,7,1,0
維摩詰不二法門,4,維摩詰經,0,0,3,4,0,1
維摩詰不二法門,5,維摩詰居士,0,0,3,4,0,1
維摩詰不二法門,6,維摩詰所說經,0,0,3,4,0,1
維摩詰不二法門,7,維摩義記,0,0,2,5,0,0
維摩詰不二法門,8,十不二門,0,0,3,7,0,0
維摩詰不二法門,9,一山不容二虎,0,0,2,6,0,0
維摩詰不二法門,10,修性不二門,0,0,3,7,0,0
世尊陞座,1,世尊,0,0,2,2,1,1
世尊陞座,2,陞座,0,0,2,4,1,1
世尊陞座,3,五参陞座,0,0,2,2,0,0
世尊陞座,4,药山陞座,0,0,2,2,0,0
世尊陞座,5,尊者世友,0,0,2,4,0,0
三轉語,1,三轉,0,0,2,1,1,1
三轉語,2,轉語,0,0,2,3,1,1
三轉語,3,三轉法輪,0,0,2,2,0,0
三轉語,4,三读,0,0,1,2,0,0
三轉語,5,共同語,0,0,1,2,0,0
回向院,1,回向,0,0,2,1,1,1
回向院,2,回向門,0,0,2,1,0,0
回向院,3,回向偈,0,0,2,1,0,0
