Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Is Relevant
圜悟大師之所述也,1,大悟县,0,0,2,7,0,0
圜悟大師之所述也,2,誇大之詞,0,0,2,8,0,0
圜悟大師之所述也,3,大悟縣,0,0,2,7,0,0
其大弟子大慧禪師,1,大慧度經宗要,0,0,2,8,0,0
其大弟子大慧禪師,2,大男子主义者,0,0,2,8,0,0
世間種種法皆忌執著,2,有情世間,0,0,2,9,0,0
世間種種法皆忌執著,3,您要有願心 世界無遠近 您要肯發心 人間無苦樂,0,0,2,23,0,0
世間種種法皆忌執著,4,生活要佛法化 信仰要理智化 處世要誠信化 待人要尊重化,0,0,2,26,0,0
猶有時而罵之,1,爱美之心，人皆有之,0,0,2,9,0,0
猶有時而罵之,2,無一事而不學，無一時而不學，無一處而不得,0,0,2,19,0,0
猶有時而罵之,3,弦而鼓之,0,0,2,6,0,0
必至於失己,1,忖己德行全缺应供,0,0,1,8,0,0
必至於失己,2,身不由己,0,0,1,5,0,0
必至於失己,3,1. 一切好事 從我本身做起  2. 一切好言 從我口中說出 3. 一切善心 從我自己開發 4. 一切善人 從我至誠禮敬,0,0,2,60,0,0
夫心與道一,1,1. 佛光人要有為教的憂患意識 2. 佛光人要有為道的篤實心態 3. 佛光人要有對事的敏銳覺知 4. 佛光人要有為眾的慈心悲願,0,0,2,63,0,0
夫心與道一,2,道心,0,0,2,4,0,0
夫心與道一,3,如實一道心,0,0,3,4,0,0
道與萬物一,1,自然界與人 大地供人居住 流水供人飲用 火力供人熟食 空氣供人生存 陽光供人溫暖 冰雪供人磨鍊 月光供人舒暢 夜晚供人休憩 道路供人行走 橋樑供人往來 百花供人欣賞 微風供人涼爽 果實供人品嘗 食物供人存活 好藥供人治病 江海供人潛水 森林供人氧氣 山岳供人登高 家屋供人安全 禪修供人悟道,0,0,3,145,0,0
道與萬物一,2,一切事物,0,0,2,4,0,0
道與萬物一,3,佛教與生活(一),0,0,2,8,0,0
充滿太虛,1,慈悲化世界 日月滿虛空,0,0,2,11,0,0
充滿太虛,2,太虛法師,0,0,2,4,0,0
充滿太虛,3,好愛太子,0,0,1,3,0,0
何適而非道,1,何须有路寻无路 莫道无门却有门,0,0,2,14,0,0
何適而非道,2,溪声毕竟无古今 山色何曾有是非,0,0,2,15,0,0
何適而非道,3,溪聲畢竟無古今 山色何曾有是非,0,0,2,15,0,0
第常人觀之,1,心的功用 鬧時練心安靜自在 獨時慎心不可妄為 亂時定心集中精神 怒時忍心沒有差錯 傷時療心恢復健康 勞時專心工作易成 苦時轉心化苦為樂 錯時改心必能成功 迷時悟心回歸正道 妄時真心迷途知返 靜時養心禪修增上 坐時觀心能知得失 立時守心思前想後 行時小心安全第一 言時留心說話謹慎 學時省心容易成就 動時穩心不會冒失 做時用心易達目標 富時捨心推己及人 睡時放心身心安然,0,0,3,184,0,0
第常人觀之,2,言說之巧(下) 心內的事少對人說 過去的事不必再說 緊急的事長話短說 重要的事謹慎的說 不懂的事了解再說 別人的事儘量不說 煩瑣的事見面再說 準備的事不能漏說 商量的事當面好說 炫耀的事完成再說 快樂的事看場合說 公開的事無須您說 讚美的事應當常說 助人的事一定可說 利眾的事公然來說 勵志的事著書立說 有益的事到處宣說 應答的事有話當說 承諾的事不要空說 明天的事明日再說,0,0,3,187,0,0
第常人觀之,3,靜坐常思己過 閒談莫論人非,0,0,2,13,0,0
能見其所見,1,二十乐 犯错的人乐在忏悔 安份的人乐在其中 中奖的人乐不可支 喜舍的人乐善好施 热心的人乐于公益 随缘的人乐天知命 自在的人乐山爱水 旅行的人乐不思蜀 精进的人乐而不荒 淡泊的人乐业安居 逍遥的人乐以忘忧 研究的人乐此不疲 知足的人乐贫安逸 慈悲的人乐善好义 蜜月的人乐爱相待 无我的人乐于分享 庄重的人乐而不邪 丰收的人乐见成果 兴奋的人乐而能定 修道的人乐道安贫,0,0,2,183,0,0
能見其所見,2,人生二十最 人生最大的敵人是自己 人生最大的毛病是自私 人生最大的悲哀是無知 人生最大的錯誤是邪見 人生最大的失敗是驕慢 人生最大的煩惱是欲望 人生最大的無明是怨尤 人生最大的過失是侵犯 人生最大的困擾是是非 人生最大的美德是慈悲 人生最大的勇氣是認錯 人生最大的能源是信仰 人生最大的擁有是感恩 人生最大的修養是寬容 人生最大的本錢是尊嚴 人生最大的歡喜是法樂 人生最大的發心是利眾 人生最大的富有是滿足 人生最大的希望是平安 人生最大的收穫是圓滿,0,0,2,225,0,0
能見其所見,3,各盡所能,0,0,2,5,0,0
雲門三句,1,三业; 1. 身业 2. 口业 3. 意业,0,0,2,21,0,0
雲門三句,2,清淨法身毘盧遮那心地法門成就一切陀羅尼三種悉地,0,0,2,23,0,0
雲門三句,3,佛光普照三千界 法水长流五大洲,0,0,2,15,0,0
智者少而愚者多,1,智者千慮，必有一失,0,0,2,7,0,0
智者少而愚者多,2,或多或少,0,0,2,7,0,0
智者少而愚者多,3,了却人间多少事 笑开天下古今愁,0,0,2,15,0,0
盡為未來世設,1,金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品,0,0,2,32,0,0
盡為未來世設,2,未來比現在更好,0,0,2,7,0,0
盡為未來世設,3,二十一世紀的未來世界,0,0,3,10,0,0
苟可以忘言,1,只可意会，不可言传,0,0,2,8,0,0
苟可以忘言,2,主不可以不坚,0,0,2,6,0,0
釋迦老子便當閉口,1,勝鬘師子吼一乘大方便方廣经經,0,0,2,13,0,0
釋迦老子便當閉口,2,女子无才便是德,0,0,2,7,0,0
釋迦老子便當閉口,3,御便當,0,0,2,8,0,0
天下之理,1,广结善缘　天下为家,0,0,2,9,0,0
天下之理,2,义理之天,0,0,3,3,0,0
天下之理,3,先天下之憂而憂，後天下之樂而樂,0,0,3,15,0,0
天下之理,4,天下为公　大道贯之,0,0,3,7,0,0
雖若易知,1,海內存知己，天涯若比鄰,0,0,2,10,0,0
雖若易知,2,易读,0,0,1,4,0,0
雖若易知,3,判若兩人,0,0,1,3,0,0
而實未易知者,1,知難而退,0,0,2,6,0,0
而實未易知者,2,作者未詳,0,0,2,5,0,0
而實未易知者,3,知人者智，自知者明,0,0,2,9,0,0
太阿之劍,1,言說之巧(上) 疑人的事不可言說 蠱惑的事異端邪說 沒有的事絕不妄說 他家的事不太好說 理虧的事不容分說 害人的事永遠不說 錯誤的事不能傳說 聽來的事寧可莫說 感情的事無話可說 不實的事千萬別說 尷尬的事羞對人說 誤會的事就怕不說 街坊的事道聽塗說 生氣的事緩和再說 失誤的事總會被說 道歉的事要自己說 紛諍的事再也不說 掃興的事何必多說 勸誡的事看情況說 曾經的事好歹一說,0,0,2,186,0,0
太阿之劍,2,言说之巧(上) 疑人的事不可言说 蛊惑的事异端邪说 没有的事绝不妄说 他家的事不太好说 理亏的事不容分说 害人的事永远不说 错误的事不能传说 听来的事宁可莫说 感情的事无话可说 不实的事千万别说 尴尬的事羞对人说 误会的事就怕不说 街坊的事道听涂说 生气的事缓和再说 失误的事总会被说 道歉的事要自己说 纷诤的事再也不说 扫兴的事何必多说 劝诫的事看情况说 曾经的事好歹一说,0,0,2,186,0,0
太阿之劍,3,天堂地獄一念之間,0,0,1,8,0,0
天下之利劍也,1,争天下,0,0,2,6,0,0
天下之利劍也,2,锦上添花天下有 雪中送炭世间少,0,0,2,15,0,0
天下之利劍也,3,天下大乱,0,0,2,4,0,0
登山則戮虎豹,1,山形縣,0,0,1,6,0,0
登山則戮虎豹,2,山鄉,0,0,1,6,0,0
登山則戮虎豹,3,山中無老虎，猴子稱大王,0,0,2,10,0,0
然古人有善用之者,1,自然界與人 大地供人居住 流水供人飲用 火力供人熟食 空氣供人生存 陽光供人溫暖 冰雪供人磨鍊 月光供人舒暢 夜晚供人休憩 道路供人行走 橋樑供人往來 百花供人欣賞 微風供人涼爽 果實供人品嘗 食物供人存活 好藥供人治病 江海供人潛水 森林供人氧氣 山岳供人登高 家屋供人安全 禪修供人悟道,0,0,3,145,0,0
然古人有善用之者,2,年年不忘春耕 自然可以收成 時時不離助人 自然能得人緣 念念不起惡心 自然不生業果 處處不論人我 自然沒有是非,0,0,3,55,0,0
然古人有善用之者,3,人生要有些什么? 人生活着要有希望 人生存在要有明天 人生意义要有信仰 人生每天要有工作 人生眼界要有远见 人生前途要有计划 人生做事要有观察 人生方便要有结缘 人生交友要有情义 人生性格要有慈悲 人生发展要有动力 人生处世要有服务 人生行事要有周全 人生存活要有大众 人生活动要有空间 人生积善要有无私 人生评断要有明鉴 人生滋长要有忙碌 人生安危要有思量 人生可否要有智慧,0,0,3,187,0,0
順風而揮之,1,利而誘之,0,0,2,5,0,0
順風而揮之,2,百足之虫死而不僵,0,0,2,8,0,0
順風而揮之,3,夫風者，天地之氣,0,0,2,7,0,0
流血赭乎千里,1,春到千山秀 花開萬里香,0,0,2,11,0,0
流血赭乎千里,2,血流,0,0,2,6,0,0
流血赭乎千里,3,远隔千里,0,0,2,6,0,0
是豈可以一己之所能,1,一線之間,0,0,2,9,0,0
是豈可以一己之所能,2,害人之心不可有，防人之心不可無,0,0,2,15,0,0
是豈可以一己之所能,3,一以貫之,0,0,3,9,0,0
而盡疑之哉,1,分而治之,0,0,2,4,0,0
而盡疑之哉,2,隨之而後,0,0,2,5,0,0
而盡疑之哉,3,取而代之,0,0,2,4,0,0
自吾聞有是書,1,是非自有公論,0,0,3,5,0,0
自吾聞有是書,2,有法自相相违过,0,0,2,7,0,0
自吾聞有是書,3,自有品牌,0,0,2,5,0,0
求之甚至,1,一之为甚,0,0,2,3,0,0
求之甚至,2,反求諸己,0,0,1,4,0,0
求之甚至,3,千里之堤，溃于蚁穴,0,0,1,9,0,0
始更刻木,2,汉更始帝,0,0,2,3,0,0
始更刻木,3,鐵木真,0,0,1,4,0,0
始更刻木,4,始发,0,0,1,3,0,0
且為題其首,1,渺乎其微,0,0,1,5,0,0
且為題其首,2,佛法為家,0,0,1,5,0,0
且為題其首,3,首席代表,0,0,1,5,0,0
玉岑休休居士,1,居士学佛的次第,0,0,2,7,0,0
玉岑休休居士,2,愛國志士,0,0,1,6,0,0
玉岑休休居士,3,居次顿,0,0,1,6,0,0
碧巖集之成毀孰是乎,1,今日耐烦做事 是未来成功的踏板 今日千锤百鍊 是未来事业的阶梯 今日养深积厚 是未来成就的力量 今日喜舍布施 是未来圆满的助缘,0,0,2,62,0,0
碧巖集之成毀孰是乎,2,是非之地,0,0,2,9,0,0
