Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Is Relevant
八佾舞於庭,1,終於,0,0,1,5,0,0
八佾舞於庭,2,八風穴,0,0,1,4,0,0
八佾舞於庭,3,民间舞,0,0,1,4,0,0
八佾舞於庭,4,腊八粥,0,0,1,5,0,0
八佾舞於庭,5,十八地狱,0,0,1,5,0,0
八佾舞於庭,6,跳舞,0,0,1,5,0,0
八佾舞於庭,7,迫於,0,0,1,5,0,0
八佾舞於庭,8,明於此者,0,0,1,5,0,0
八佾舞於庭,9,烏七八糟,0,0,1,5,0,0
八佾舞於庭,10,八门,0,0,1,4,0,0
如果這都可以容忍,1,忍无可忍,0,0,2,8,0,0
如果這都可以容忍,2,授人以魚不如授人以漁,0,0,2,10,0,0
如果這都可以容忍,3,如魚似水,0,0,1,7,0,0
如果這都可以容忍,4,一发不可收拾,0,0,1,8,0,0
如果這都可以容忍,5,可以意会，不可言传,0,0,2,9,0,0
如果這都可以容忍,6,难以忍受,0,0,2,8,0,0
如果這都可以容忍,7,他山之石可以攻玉,0,0,2,6,0,0
如果這都可以容忍,8,夏虫不可以语冰,0,0,2,8,0,0
如果這都可以容忍,9,以碫投卵,0,0,1,8,0,0
如果這都可以容忍,10,宰不可以不忠,0,0,2,8,0,0
三家者以雍徹,1,三轮儿,0,0,1,5,0,0
三家者以雍徹,2,以埃,0,0,1,6,0,0
三家者以雍徹,3,三角關係,0,0,1,5,0,0
三家者以雍徹,4,马三家,0,0,2,6,0,0
三家者以雍徹,5,三家分晉,0,0,2,4,0,0
三家者以雍徹,6,货比三家,0,0,2,6,0,0
三家者以雍徹,7,三思而后行,0,0,1,5,0,0
三家者以雍徹,8,以此類推,0,0,1,6,0,0
三家者以雍徹,9,一直以来,0,0,1,6,0,0
三家者以雍徹,10,探险者,0,0,1,5,0,0
春秋時魯國孟孫,1,春秋左氏传,0,0,2,5,0,0
春秋時魯國孟孫,2,春秋把放帳,0,0,2,5,0,0
春秋時魯國孟孫,3,春秋代謝,0,0,2,5,0,0
春秋時魯國孟孫,4,春秋代谢,0,0,2,5,0,0
春秋時魯國孟孫,5,春秋公羊传,0,0,2,5,0,0
春秋時魯國孟孫,6,春秋左氏傳,0,0,2,5,0,0
春秋時魯國孟孫,7,魯國人,0,0,2,7,0,0
春秋時魯國孟孫,8,漢晉春秋,0,0,2,7,0,0
春秋時魯國孟孫,9,春秋把放帐,0,0,2,5,0,0
春秋時魯國孟孫,10,春秋三传,0,0,2,5,0,0
憋惡,1,惡祁尼,0,0,1,3,0,0
憋惡,2,怨憎惡苦,0,0,1,4,0,0
憋惡,3,惡氣,0,0,1,2,0,0
憋惡,4,改惡向善,0,0,1,3,0,0
憋惡,5,惡婦,0,0,1,2,0,0
憋惡,6,窮山惡水,0,0,1,4,0,0
憋惡,7,隱惡揚善,0,0,1,3,0,0
憋惡,8,惡意,0,0,1,2,0,0
憋惡,9,積惡餘殃,0,0,1,3,0,0
憋惡,10,惡兇兇,0,0,1,3,0,0
不逮,1,不可導,0,0,1,2,0,0
不逮,2,前事不忘，後事之師,0,0,1,9,0,0
不逮,3,沒有規矩，不成方圓,0,0,1,9,0,0
不逮,4,快鹞赶不及,0,0,1,5,0,0
不逮,5,不計其數,0,0,1,3,0,0
不逮,6,不良倾向,0,0,1,3,0,0
不逮,7,乐不可支,0,0,1,4,0,0
不逮,8,不謝,0,0,1,1,0,0
不逮,9,经不起推究,0,0,1,5,0,0
不逮,10,不足掛齒,0,0,1,3,0,0
自在隨意,1,自净其意,0,0,2,2,0,0
自在隨意,2,自由意志主义,0,0,2,5,0,0
自在隨意,3,自鸣得意,0,0,2,2,0,0
自在隨意,4,不隨意肌,0,0,2,4,0,0
自在隨意,5,項莊舞劍，意在沛公,0,0,2,9,0,0
自在隨意,6,覺華定自在王如來,0,0,2,8,0,0
自在隨意,7,大自在天,0,0,2,4,0,0
自在隨意,8,定自在王,0,0,2,4,0,0
自在隨意,9,青頸觀自在菩薩,0,0,2,7,0,0
自在隨意,10,威德自在菩萨,0,0,2,6,0,0
十指象箸玉杯,1,色界十八天,0,0,1,6,0,0
十指象箸玉杯,2,十不二門指要鈔,0,0,2,6,0,0
十指象箸玉杯,3,十全,0,0,1,5,0,0
十指象箸玉杯,4,四十一,0,0,1,6,0,0
